ID,Country code,Country,GDP per capita in USD,Mean height
0,AFG,Afghanistan,507.103431871987,168.4952011
1,ALB,Albania,5353.2448564014,174.0708368
2,DZA,Algeria,3973.96407191565,175.0402113
3,AND,Andorra,40886.3911648431,178.8426285
4,AGO,Angola,2790.72661520665,168.4641737
5,ATG,Antigua and Barbuda,17112.8211347326,178.8352709
6,ARG,Argentina,9912.28180859803,174.7549826
7,ARM,Armenia,4622.73349328671,173.6666502
8,AUS,Australia,55060.3261005013,178.7742139
9,AUT,Austria,50137.6627762476,178.5244202
10,AZE,Azerbaijan,4793.58701966989,174.0024021
11,BHR,Bahrain,23503.977126673,172.7639303
12,BGD,Bangladesh,1855.73982408046,165.0814781
13,BRB,Barbados,18148.2449264001,177.0283641
14,BLR,Belarus,6663.29529282582,178.6913126
15,BEL,Belgium,46420.6637668061,179.0933196
16,BLZ,Belize,4815.1637107951,170.5235404
17,BEN,Benin,1219.43267185875,168.4402856
18,BMU,Bermuda,117089.286273037,179.7190928
19,BTN,Bhutan,3316.17571350084,167.047405
20,BOL,Bolivia,3552.0687602631,168.1020022
21,BIH,Bosnia and Herzegovina,6108.51069581338,182.4739613
22,BWA,Botswana,7961.32518123885,173.1562439
23,BRA,Brazil,8717.18627810819,175.7294701
24,BRN,Brunei Darussalam,31086.7511188028,166.3107865
25,BGR,Bulgaria,9828.14851478139,174.1662959
26,BFA,Burkina Faso,786.895631290168,171.8936289
27,BDI,Burundi,261.247472515742,167.3366923
28,CPV,Cabo Verde,3603.78179304514,176.2878151
29,KHM,Cambodia,1643.12138876539,165.3497028
30,CMR,Cameroon,1507.45020591288,172.1273456
31,CAN,Canada,46194.7252255167,178.7495629
32,CAF,Central African Republic,467.907440636335,169.0103541
33,TCD,Chad,709.540310138533,171.8384508
34,CHL,Chile,14896.4538665789,172.8758725
35,CHN,China,10216.6303341031,175.660861
36,COL,Colombia,6428.67620562768,171.8528689
37,COM,Comoros,1370.14820676715,167.724913
38,CRI,Costa Rica,12243.8114267607,174.0413739
39,CIV,Cote d'Ivoire,2276.33327906444,168.233546
40,HRV,Croatia,14936.100547343,180.7589162
41,CYP,Cyprus,27858.3709958327,172.748561
42,CZE,Czech Republic,23494.5962002944,181.1866355
43,DNK,Denmark,60170.3426365069,181.8926588
44,DJI,Djibouti,3414.92486968779,170.7670714
45,DMA,Dominica,8110.56851191655,180.1526393
46,DOM,Dominican Republic,8282.11635935324,174.6498499
47,ECU,Ecuador,6183.82382482173,167.3196536
48,SLV,El Salvador,4187.2500311069,170.6696869
49,GNQ,Equatorial Guinea,8131.92388810912,168.1772539
50,EST,Estonia,23723.306112848,182.7907032
51,ETH,Ethiopia,855.760862280838,168.8434837
52,FJI,Fiji,6175.88872032104,173.9764485
53,FIN,Finland,48782.7884755091,180.5693897
54,FRA,France,40493.9285720456,178.6048688
55,GAB,Gabon,7767.01340440788,170.4814842
56,GEO,Georgia,4697.7045759469,175.9786311
57,DEU,Germany,46445.2491012508,180.2812073
58,GHA,Ghana,2202.11556738065,170.3046673
59,GRC,Greece,19582.5359794936,179.2597832
60,GRD,Grenada,10808.6721222084,178.6999159
61,GTM,Guatemala,4619.98525821971,164.3575117
62,GIN,Guinea,962.839908587778,170.6992167
63,GUY,Guyana,6609.58642503371,172.1502463
64,HTI,Haiti,1272.4909246734,172.229052
65,HND,Honduras,2574.91219067443,169.5905441
66,HUN,Hungary,16731.8215139051,176.5873222
67,ISL,Iceland,66944.8330769825,182.1015752
68,IND,India,2099.59904810855,166.4952701
69,IDN,Indonesia,4135.56926281554,166.2576675
70,IRQ,Iraq,5955.10901036816,173.7936893
71,IRL,Ireland,78660.9564629603,179.0393832
72,ISR,Israel,43592.0835823234,175.9835635
