ID,Country,Country code,GDP per capita in USD,Sex,Mean height of 19-year-olds in cm
0,Afghanistan,AFG,507.103431871987,Boys,168.4952011
1,Afghanistan,AFG,507.103431871987,Girls,156.1131365
2,Angola,AGO,2790.72661520665,Boys,168.4641737
3,Angola,AGO,2790.72661520665,Girls,158.0968993
4,Albania,ALB,5353.2448564014,Boys,174.0708368
5,Albania,ALB,5353.2448564014,Girls,162.228577
6,Andorra,AND,40886.3911648431,Boys,178.8426285
7,Andorra,AND,40886.3911648431,Girls,165.5339424
8,United Arab Emirates,ARE,43103.3230583165,Boys,174.0772556
9,United Arab Emirates,ARE,43103.3230583165,Girls,160.5303006
10,Argentina,ARG,9912.28180859803,Boys,174.7549826
11,Argentina,ARG,9912.28180859803,Girls,161.2204189
12,Armenia,ARM,4622.73349328671,Boys,173.6666502
13,Armenia,ARM,4622.73349328671,Girls,159.8502379
14,Antigua and Barbuda,ATG,17112.8211347326,Boys,178.8352709
15,Antigua and Barbuda,ATG,17112.8211347326,Girls,165.7236873
16,Australia,AUS,55060.3261005013,Boys,178.7742139
17,Australia,AUS,55060.3261005013,Girls,164.6657115
18,Austria,AUT,50137.6627762476,Boys,178.5244202
19,Austria,AUT,50137.6627762476,Girls,166.9267081
20,Azerbaijan,AZE,4793.58701966989,Boys,174.0024021
21,Azerbaijan,AZE,4793.58701966989,Girls,161.3748814
22,Burundi,BDI,261.247472515742,Boys,167.3366923
23,Burundi,BDI,261.247472515742,Girls,155.0750944
24,Belgium,BEL,46420.6637668061,Boys,179.0933196
25,Belgium,BEL,46420.6637668061,Girls,163.4017271
26,Benin,BEN,1219.43267185875,Boys,168.4402856
27,Benin,BEN,1219.43267185875,Girls,158.4004184
28,Burkina Faso,BFA,786.895631290168,Boys,171.8936289
29,Burkina Faso,BFA,786.895631290168,Girls,161.3260572
30,Bangladesh,BGD,1855.73982408046,Boys,165.0814781
31,Bangladesh,BGD,1855.73982408046,Girls,152.3776067
32,Bulgaria,BGR,9828.14851478139,Boys,174.1662959
33,Bulgaria,BGR,9828.14851478139,Girls,164.5763997
34,Bahrain,BHR,23503.977126673,Boys,172.7639303
35,Bahrain,BHR,23503.977126673,Girls,158.2908386
36,Bosnia and Herzegovina,BIH,6108.51069581338,Boys,182.4739613
37,Bosnia and Herzegovina,BIH,6108.51069581338,Girls,167.4703934
38,Belarus,BLR,6663.29529282582,Boys,178.6913126
39,Belarus,BLR,6663.29529282582,Girls,166.9286256
40,Belize,BLZ,4815.1637107951,Boys,170.5235404
41,Belize,BLZ,4815.1637107951,Girls,158.1200655
42,Bermuda,BMU,117089.286273037,Boys,179.7190928
43,Bermuda,BMU,117089.286273037,Girls,166.1100662
44,Bolivia,BOL,3552.0687602631,Boys,168.1020022
45,Bolivia,BOL,3552.0687602631,Girls,155.5752266
46,Brazil,BRA,8717.18627810819,Boys,175.7294701
47,Brazil,BRA,8717.18627810819,Girls,162.4109716
48,Barbados,BRB,18148.2449264001,Boys,177.0283641
49,Barbados,BRB,18148.2449264001,Girls,165.6637541
50,Brunei Darussalam,BRN,31086.7511188028,Boys,166.3107865
51,Brunei Darussalam,BRN,31086.7511188028,Girls,154.8975092
52,Bhutan,BTN,3316.17571350084,Boys,167.047405
53,Bhutan,BTN,3316.17571350084,Girls,155.1525549
54,Botswana,BWA,7961.32518123885,Boys,173.1562439
55,Botswana,BWA,7961.32518123885,Girls,162.0619929
56,Central African Republic,CAF,467.907440636335,Boys,169.0103541
57,Central African Republic,CAF,467.907440636335,Girls,159.6509569
58,Canada,CAN,46194.7252255167,Boys,178.7495629
59,Canada,CAN,46194.7252255167,Girls,164.7299393
60,Switzerland,CHE,81993.72712595,Boys,178.7319158
61,Switzerland,CHE,81993.72712595,Girls,164.3299732
62,Chile,CHL,14896.4538665789,Boys,172.8758725
63,Chile,CHL,14896.4538665789,Girls,159.4177472
64,China,CHN,10216.6303341031,Boys,175.660861
65,China,CHN,10216.6303341031,Girls,163.464143
66,Cote d'Ivoire,CIV,2276.33327906444,Boys,168.233546
67,Cote d'Ivoire,CIV,2276.33327906444,Girls,158.6523799
68,Cameroon,CMR,1507.45020591288,Boys,172.1273456
69,Cameroon,CMR,1507.45020591288,Girls,160.4111854
70,Colombia,COL,6428.67620562768,Boys,171.8528689
71,Colombia,COL,6428.67620562768,Girls,157.9637321
72,Comoros,COM,1370.14820676715,Boys,167.724913
73,Comoros,COM,1370.14820676715,Girls,156.5389135
74,Cabo Verde,CPV,3603.78179304514,Boys,176.2878151
75,Cabo Verde,CPV,3603.78179304514,Girls,163.0984081
76,Costa Rica,CRI,12243.8114267607,Boys,174.0413739
77,Costa Rica,CRI,12243.8114267607,Girls,160.357674
78,Cyprus,CYP,27858.3709958327,Boys,172.748561
79,Cyprus,CYP,27858.3709958327,Girls,160.5529092
80,Czech Republic,CZE,23494.5962002944,Boys,181.1866355
81,Czech Republic,CZE,23494.5962002944,Girls,167.9634761
82,Germany,DEU,46445.2491012508,Boys,180.2812073
83,Germany,DEU,46445.2491012508,Girls,166.177267
84,Djibouti,DJI,3414.92486968779,Boys,170.7670714
85,Djibouti,DJI,3414.92486968779,Girls,159.8239953
86,Dominica,DMA,8110.56851191655,Boys,180.1526393
87,Dominica,DMA,8110.56851191655,Girls,166.8884613
88,Denmark,DNK,60170.3426365069,Boys,181.8926588
89,Denmark,DNK,60170.3426365069,Girls,169.4706062
90,Dominican Republic,DOM,8282.11635935324,Boys,174.6498499
91,Dominican Republic,DOM,8282.11635935324,Girls,161.2094022
92,Algeria,DZA,3973.96407191565,Boys,175.0402113
93,Algeria,DZA,3973.96407191565,Girls,162.3471758
94,Ecuador,ECU,6183.82382482173,Boys,167.3196536
95,Ecuador,ECU,6183.82382482173,Girls,155.2489338
96,Spain,ESP,29600.3782526602,Boys,176.1060863
97,Spain,ESP,29600.3782526602,Girls,162.027874
98,Estonia,EST,23723.306112848,Boys,182.7907032
99,Estonia,EST,23723.306112848,Girls,168.6627596
100,Ethiopia,ETH,855.760862280838,Boys,168.8434837
101,Ethiopia,ETH,855.760862280838,Girls,157.1513304
102,Finland,FIN,48782.7884755091,Boys,180.5693897
103,Finland,FIN,48782.7884755091,Girls,166.4751191
104,Fiji,FJI,6175.88872032104,Boys,173.9764485
105,Fiji,FJI,6175.88872032104,Girls,164.2814691
106,France,FRA,40493.9285720456,Boys,178.6048688
107,France,FRA,40493.9285720456,Girls,164.4886274
108,Gabon,GAB,7767.01340440788,Boys,170.4814842
109,Gabon,GAB,7767.01340440788,Girls,160.0451908
110,United Kingdom,GBR,42330.117537005,Boys,178.2080213
111,United Kingdom,GBR,42330.117537005,Girls,163.9391448
112,Georgia,GEO,4697.7045759469,Boys,175.9786311
113,Georgia,GEO,4697.7045759469,Girls,163.2390056
114,Ghana,GHA,2202.11556738065,Boys,170.3046673
115,Ghana,GHA,2202.11556738065,Girls,158.8551002
116,Guinea,GIN,962.839908587778,Boys,170.6992167
117,Guinea,GIN,962.839908587778,Girls,158.7521597
118,Equatorial Guinea,GNQ,8131.92388810912,Boys,168.1772539
119,Equatorial Guinea,GNQ,8131.92388810912,Girls,158.049563
120,Greece,GRC,19582.5359794936,Boys,179.2597832
121,Greece,GRC,19582.5359794936,Girls,165.8130758
122,Grenada,GRD,10808.6721222084,Boys,178.6999159
123,Grenada,GRD,10808.6721222084,Girls,165.9886854
124,Guatemala,GTM,4619.98525821971,Boys,164.3575117
125,Guatemala,GTM,4619.98525821971,Girls,150.9139679
126,Guyana,GUY,6609.58642503371,Boys,172.1502463
127,Guyana,GUY,6609.58642503371,Girls,159.5686675
128,Honduras,HND,2574.91219067443,Boys,169.5905441
129,Honduras,HND,2574.91219067443,Girls,155.1831397
130,Croatia,HRV,14936.100547343,Boys,180.7589162
131,Croatia,HRV,14936.100547343,Girls,166.8030687
132,Haiti,HTI,1272.4909246734,Boys,172.229052
133,Haiti,HTI,1272.4909246734,Girls,160.5749918
134,Hungary,HUN,16731.8215139051,Boys,176.5873222
135,Hungary,HUN,16731.8215139051,Girls,162.5462546
136,Indonesia,IDN,4135.56926281554,Boys,166.2576675
137,Indonesia,IDN,4135.56926281554,Girls,154.3551613
138,India,IND,2099.59904810855,Boys,166.4952701
139,India,IND,2099.59904810855,Girls,155.1781714
140,Ireland,IRL,78660.9564629603,Boys,179.0393832
141,Ireland,IRL,78660.9564629603,Girls,164.4968527
142,Iraq,IRQ,5955.10901036816,Boys,173.7936893
143,Iraq,IRQ,5955.10901036816,Girls,158.748746
144,Iceland,ISL,66944.8330769825,Boys,182.1015752
145,Iceland,ISL,66944.8330769825,Girls,168.9134842
146,Israel,ISR,43592.0835823234,Boys,175.9835635
147,Israel,ISR,43592.0835823234,Girls,162.2225456
148,Italy,ITA,33228.2366803707,Boys,174.4246967
149,Italy,ITA,33228.2366803707,Girls,161.810158
150,Jamaica,JAM,5582.26377755211,Boys,176.9742253
151,Jamaica,JAM,5582.26377755211,Girls,164.3192602
152,Jordan,JOR,4405.48841230824,Boys,174.8389689
153,Jordan,JOR,4405.48841230824,Girls,159.4624081
154,Japan,JPN,40246.8801284164,Boys,172.0628269
155,Japan,JPN,40246.8801284164,Girls,158.5037434
156,Kazakhstan,KAZ,9812.39037613835,Boys,175.4969273
157,Kazakhstan,KAZ,9812.39037613835,Girls,161.7446106
158,Kenya,KEN,1816.5469164389,Boys,170.4552667
159,Kenya,KEN,1816.5469164389,Girls,159.4338103
160,Cambodia,KHM,1643.12138876539,Boys,165.3497028
